objectid,collectionid,parentid,display_template,sequence,title,archival_call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,language,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,chronological_subject,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rights_management_valueURI,date,date_digital,publisher,publisher_uri,ark,pres_file,filename,image_small,image_thumb,object_location,object_pdf,image_alt_text,object_ocr,object_hocr,object_transcript,avian_id,uid,issuance,issuance_start,issuance_end,frequency,relation,relation_uri,disclaimer,digital_origin
mezvinsky127,mezvinsky,mezvinsky129,child,2,Page 2,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library has reviewed this item but was unable to make a conclusive determination as to the copyright and related rights status of the item. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/UND/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,MS0274_Mezvinsky_004_016i003.tif,ms0274_mezvinsky_004_016i003.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_004_016i003_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_004_016i003_th.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/ms0274_mezvinsky_004_016i003.jpg,,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital
mezvinsky128,mezvinsky,mezvinsky129,child,3,Page 3,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"The Iowa State University Library has reviewed this item but was unable to make a conclusive determination as to the copyright and related rights status of the item. If you have information that can contribute to identifying or locating the rights-holder, please notify the Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/UND/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,MS0274_Mezvinsky_004_016i004.tif,ms0274_mezvinsky_004_016i004.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_004_016i004_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_004_016i004_th.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/ms0274_mezvinsky_004_016i004.jpg,,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital
mezvinsky142,mezvinsky,,complex,0,A Quest for Human Rights,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Mezvinsky, Edward M.;Sruzonsky, Mark",http://id.loc.gov/authorities/names/n89604784;,,,,,,,,,,,"Outline of a proposed memoir about Mezvinsky's life in the latter half of the 1970s, focusing primarily on his work as the U.S. Representative on the United Nations Commission on Human Rights. Included with the outline is a memorandum from Mark Bruzonsky to Mezvinsky with a proposed work schedule and costs for his helping write the memoir.",eng,,,,,,,,,,United Nations. Commission on Human Rights,http://id.loc.gov/authorities/names/n79105785,1970s,12 pages,,,outlines (documents);correspondence,http://vocab.getty.edu/aat/300027207;http://vocab.getty.edu/aat/300026877,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1977,2018-08-28,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,https://n2t.net/ark:/87292/w95z75,,,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_008_008i006_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_008_008i006_th.jpg,,https://digitalcollections.iastatedigital.org/objects/mezvinsky/pdf/mezvinsky142.pdf,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital; Digitized with Plustek
mezvinsky130,mezvinsky,mezvinsky142,child,1,Page 1,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,MS0274_Mezvinsky_008_008i006.tif,ms0274_mezvinsky_008_008i006.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_008_008i006_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_008_008i006_th.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/ms0274_mezvinsky_008_008i006.jpg,,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital
mezvinsky131,mezvinsky,mezvinsky142,child,2,Page 2,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,MS0274_Mezvinsky_008_008i007.tif,ms0274_mezvinsky_008_008i007.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_008_008i007_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_008_008i007_th.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/ms0274_mezvinsky_008_008i007.jpg,,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital
mezvinsky132,mezvinsky,mezvinsky142,child,3,Page 3,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,MS0274_Mezvinsky_008_008i008.tif,ms0274_mezvinsky_008_008i008.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_008_008i008_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_008_008i008_th.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/ms0274_mezvinsky_008_008i008.jpg,,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital
mezvinsky133,mezvinsky,mezvinsky142,child,4,Page 4,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,MS0274_Mezvinsky_008_008i009.tif,ms0274_mezvinsky_008_008i009.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_008_008i009_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_008_008i009_th.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/ms0274_mezvinsky_008_008i009.jpg,,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital
mezvinsky134,mezvinsky,mezvinsky142,child,5,Page 5,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,MS0274_Mezvinsky_008_008i010.tif,ms0274_mezvinsky_008_008i010.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_008_008i010_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_008_008i010_th.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/ms0274_mezvinsky_008_008i010.jpg,,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital
mezvinsky135,mezvinsky,mezvinsky142,child,6,Page 6,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,MS0274_Mezvinsky_008_008i011.tif,ms0274_mezvinsky_008_008i011.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_008_008i011_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_008_008i011_th.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/ms0274_mezvinsky_008_008i011.jpg,,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital
mezvinsky136,mezvinsky,mezvinsky142,child,7,Page 7,MS 274,Edward M. Mezvinsky papers,https://n2t.net/ark:/87292/w9gt9b,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,MS0274_Mezvinsky_008_008i012.tif,ms0274_mezvinsky_008_008i012.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/small/ms0274_mezvinsky_008_008i012_sm.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/thumbs/ms0274_mezvinsky_008_008i012_th.jpg,https://digitalcollections.iastatedigital.org/objects/mezvinsky/ms0274_mezvinsky_008_008i012.jpg,,,,,,,,,,,,Edward Mezvinsky Collection; Edward Mezvinsky,https://n2t.net/ark:/87292/w9m32n92j; https://n2t.net/ark:/87292/w9xw4823t,,reformatted digital
