legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
Rosene_2370,rosene2370,rosene,child,rosene2440,118,MS589b017f009i118.tif,ms589b017f009i118.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i118.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i118_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i118_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2370.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2370.txt,,,Page 118,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_2371,rosene2371,rosene,child,rosene2440,119,MS589b017f009i119.tif,ms589b017f009i119.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i119.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i119_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i119_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2371.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2371.txt,,,Page 119,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_2372,rosene2372,rosene,child,rosene2440,120,MS589b017f009i120.tif,ms589b017f009i120.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i120.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i120_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i120_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2372.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2372.txt,,,Page 120,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_2373,rosene2373,rosene,child,rosene2440,121,MS589b017f009i121.tif,ms589b017f009i121.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i121.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i121_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i121_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2373.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2373.txt,,,Page 121,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_2374,rosene2374,rosene,child,rosene2440,122,MS589b017f009i122.tif,ms589b017f009i122.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i122.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i122_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i122_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2374.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2374.txt,,,Page 122,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_2375,rosene2375,rosene,child,rosene2440,123,MS589b017f009i123.tif,ms589b017f009i123.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i123.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i123_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i123_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2375.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2375.txt,,,Page 123,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_2376,rosene2376,rosene,child,rosene2440,124,MS589b017f009i124.tif,ms589b017f009i124.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i124.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i124_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i124_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2376.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2376.txt,,,Page 124,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_2377,rosene2377,rosene,child,rosene2440,125,MS589b017f009i125.tif,ms589b017f009i125.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i125.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i125_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i125_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2377.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2377.txt,,,Page 125,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_2378,rosene2378,rosene,child,rosene2440,126,MS589b017f009i126.tif,ms589b017f009i126.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i126.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i126_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i126_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2378.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2378.txt,,,Page 126,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
Rosene_2379,rosene2379,rosene,child,rosene2440,127,MS589b017f009i127.tif,ms589b017f009i127.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ms589b017f009i127.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/small/ms589b017f009i127_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/thumbs/ms589b017f009i127_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/ocr/rosene2379.txt,https://digitalcollections.lib.iastate.edu/digital-objects/rosene/hocr/rosene2379.txt,,,Page 127,,,,,MS 589,"Walter M. Rosene, Sr. papers",,https://n2t.net/ark:/87292/w9zn1x,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,,,,,,,,,Walter M. Rosene collection,https://n2t.net/ark:/87292/w9vm42x2p,,,reformatted digital,
