legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
WPA_b4f22i2_1,wpab4f22i2c1,wpa,child,wpab4f22i2,1,MS0260b004f022i003.tif,ms0260b004f022i003.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b004f022i003.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f022i003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f022i003_th.jpg,,,,,Front,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f22i2_2,wpab4f22i2c2,wpa,child,wpab4f22i2,2,MS0260b004f022i004.tif,ms0260b004f022i004.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b004f022i004.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f022i004_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f022i004_th.jpg,,,,,Back,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i1,wpab4f23i1,wpa,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i001_th.jpg,,,,,Photograph of farm-to-market road in Missouri Valley,https://n2t.net/ark:/87292/w9qj7843j,,,,MS 260,United States. Work Projects Administration (Iowa) Photographs,,https://n2t.net/ark:/87292/w91v07,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Harrison County. Missouri Valley. Farm to Market Roads, and Bridge. Project 274. (4 b/w photographs), 1936",4,23,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,eng,1930s,,,,,Rural roads,http://id.worldcat.org/fast/1101800,Iowa--Missouri Valley,http://id.worldcat.org/fast/1228832,,,,,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1936-06-10,2021-01-12,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i1_1,wpab4f23i1c1,wpa,child,wpab4f23i1,1,MS0260b004f023i001.tif,ms0260b004f023i001.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b004f023i001.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i001_th.jpg,,,,,Front,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i1_2,wpab4f23i1c2,wpa,child,wpab4f23i1,2,MS0260b004f023i002.tif,ms0260b004f023i002.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b004f023i002.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i002_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i002_th.jpg,,,,,Back,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i2,wpab4f23i2,wpa,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i003_th.jpg,,,,,Photograph of farm-to-market road and bridge under construction in Missouri Valley,https://n2t.net/ark:/87292/w9ks6j989,,,,MS 260,United States. Work Projects Administration (Iowa) Photographs,,https://n2t.net/ark:/87292/w91v07,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Harrison County. Missouri Valley. Farm to Market Roads, and Bridge. Project 274. (4 b/w photographs), 1936",4,23,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,eng,1930s,,,,,Rural roads;Bridges--Design and construction,http://id.worldcat.org/fast/1101800;http://id.worldcat.org/fast/838690,Iowa--Missouri Valley,http://id.worldcat.org/fast/1228832,,,,,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1936-06-22,2021-01-12,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i2_1,wpab4f23i2c1,wpa,child,wpab4f23i2,1,MS0260b004f023i003.tif,ms0260b004f023i003.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b004f023i003.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i003_th.jpg,,,,,Front,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i2_2,wpab4f23i2c2,wpa,child,wpab4f23i2,2,MS0260b004f023i004.tif,ms0260b004f023i004.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b004f023i004.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i004_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i004_th.jpg,,,,,Back,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i3,wpab4f23i3,wpa,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i005_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i005_th.jpg,,,,,Photograph of farm-to-market road and bridge under construction in Missouri Valley,https://n2t.net/ark:/87292/w9g15th4g,,,,MS 260,United States. Work Projects Administration (Iowa) Photographs,,https://n2t.net/ark:/87292/w91v07,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Harrison County. Missouri Valley. Farm to Market Roads, and Bridge. Project 274. (4 b/w photographs), 1936",4,23,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,eng,1930s,,,,,Rural roads;Bridges--Design and construction,http://id.worldcat.org/fast/1101800;http://id.worldcat.org/fast/838690,Iowa--Missouri Valley,http://id.worldcat.org/fast/1228832,,,,,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1936-06-22,2021-01-12,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i3_1,wpab4f23i3c1,wpa,child,wpab4f23i3,1,MS0260b004f023i005.tif,ms0260b004f023i005.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b004f023i005.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i005_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i005_th.jpg,,,,,Front,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i3_2,wpab4f23i3c2,wpa,child,wpab4f23i3,2,MS0260b004f023i006.tif,ms0260b004f023i006.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b004f023i006.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i006_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i006_th.jpg,,,,,Back,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i4,wpab4f23i4,wpa,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i007_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i007_th.jpg,,,,,Photograph of farm-to-market road and bridge under construction in Missouri Valley,https://n2t.net/ark:/87292/w9b853q16,,,,MS 260,United States. Work Projects Administration (Iowa) Photographs,,https://n2t.net/ark:/87292/w91v07,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Harrison County. Missouri Valley. Farm to Market Roads, and Bridge. Project 274. (4 b/w photographs), 1936",4,23,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,eng,1930s,,,,,Rural roads;Bridges--Design and construction,http://id.worldcat.org/fast/1101800;http://id.worldcat.org/fast/838690,Iowa--Missouri Valley,http://id.worldcat.org/fast/1228832,,,,,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1936-06-22,2021-01-12,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b4f23i4_1,wpab4f23i4c1,wpa,child,wpab4f23i4,1,MS0260b004f023i007.tif,ms0260b004f023i007.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b004f023i007.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b004f023i007_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b004f023i007_th.jpg,,,,,Front,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
