legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes,addition_set
,isudirectories541,isudirectories,child,isudirectories595,42,isudirectories007_c042.tif,isudirectories007_c042.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c042.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c042_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c042_th.jpg,,,,,Page 40,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories542,isudirectories,child,isudirectories595,43,isudirectories007_c043.tif,isudirectories007_c043.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c043.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c043_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c043_th.jpg,,,,,Page 41,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories543,isudirectories,child,isudirectories595,44,isudirectories007_c044.tif,isudirectories007_c044.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c044.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c044_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c044_th.jpg,,,,,Page 42,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories544,isudirectories,child,isudirectories595,45,isudirectories007_c045.tif,isudirectories007_c045.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c045.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c045_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c045_th.jpg,,,,,Page 43,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories545,isudirectories,child,isudirectories595,46,isudirectories007_c046.tif,isudirectories007_c046.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c046.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c046_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c046_th.jpg,,,,,Page 44,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories546,isudirectories,child,isudirectories595,47,isudirectories007_c047.tif,isudirectories007_c047.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c047.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c047_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c047_th.jpg,,,,,Page 45,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories547,isudirectories,child,isudirectories595,48,isudirectories007_c048.tif,isudirectories007_c048.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c048.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c048_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c048_th.jpg,,,,,Page 46,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories548,isudirectories,child,isudirectories595,49,isudirectories007_c049.tif,isudirectories007_c049.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c049.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c049_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c049_th.jpg,,,,,Page 47,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories549,isudirectories,child,isudirectories595,50,isudirectories007_c050.tif,isudirectories007_c050.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c050.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c050_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c050_th.jpg,,,,,Page 48,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories550,isudirectories,child,isudirectories595,51,isudirectories007_c051.tif,isudirectories007_c051.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c051.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c051_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c051_th.jpg,,,,,Page 49,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories551,isudirectories,child,isudirectories595,52,isudirectories007_c052.tif,isudirectories007_c052.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c052.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c052_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c052_th.jpg,,,,,Page 50,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories552,isudirectories,child,isudirectories595,53,isudirectories007_c053.tif,isudirectories007_c053.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c053.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c053_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c053_th.jpg,,,,,Page 51,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories553,isudirectories,child,isudirectories595,54,isudirectories007_c054.tif,isudirectories007_c054.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c054.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c054_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c054_th.jpg,,,,,Page 52,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories554,isudirectories,child,isudirectories595,55,isudirectories007_c055.tif,isudirectories007_c055.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c055.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c055_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c055_th.jpg,,,,,Page 53,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories555,isudirectories,child,isudirectories595,56,isudirectories007_c056.tif,isudirectories007_c056.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories007_c056.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories007_c056_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories007_c056_th.jpg,,,,,Page 54,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
