objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
isudirectories892,isudirectories,child,isudirectories894,100,isudirectories010_c100.tif,isudirectories010_c100.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories010_c100.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories010_c100_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories010_c100_th.jpg,,,Page 100,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories893,isudirectories,child,isudirectories894,101,isudirectories010_c101.tif,isudirectories010_c101.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories010_c101.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories010_c101_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories010_c101_th.jpg,,,Page 101,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories1006,isudirectories,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c001_th.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/pdf/isudirectories011.pdf,"Students' directory: fall term, 1906",https://n2t.net/ark:/87292/w9r785w47,,,,LD2538 I58x,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,,,,,"This directory from Iowa State College for the fall 1906 term contains lists of students, faculty, university offices, and clubs. Advertisements for community businesses appear throughout the directory.",,eng,1900s,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,College students; Universities and colleges--Faculty; College students--Societies and clubs; College administrators,http://id.worldcat.org/fast/867976; http://id.worldcat.org/fast/1161748; http://id.worldcat.org/fast/868054; http://id.worldcat.org/fast/867621,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03637,-93.69834,WGS 84,paper repair,,111 pages,,,directories,https://vocab.getty.edu/aat/300026234,Text; Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1906,2025-05-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories895,isudirectories,child,isudirectories1006,1,isudirectories011_c001.tif,isudirectories011_c001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c001_th.jpg,,,Page 1,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories896,isudirectories,child,isudirectories1006,2,isudirectories011_c002.tif,isudirectories011_c002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c002_th.jpg,,,Page 2,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories897,isudirectories,child,isudirectories1006,3,isudirectories011_c003.tif,isudirectories011_c003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c003_th.jpg,,,Page 3,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories898,isudirectories,child,isudirectories1006,4,isudirectories011_c004.tif,isudirectories011_c004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c004_th.jpg,,,Page 4,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories899,isudirectories,child,isudirectories1006,5,isudirectories011_c005.tif,isudirectories011_c005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c005_th.jpg,,,Page 5,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories900,isudirectories,child,isudirectories1006,6,isudirectories011_c006.tif,isudirectories011_c006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c006_th.jpg,,,Page 6,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
isudirectories901,isudirectories,child,isudirectories1006,7,isudirectories011_c007.tif,isudirectories011_c007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/isudirectories011_c007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/small/isudirectories011_c007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/isudirectories/thumbs/isudirectories011_c007_th.jpg,,,Page 7,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,
