legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
Ink_b48f35i1,inkb48f35i1,ink,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i001_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/pdf/inkb48f35i1.pdf,A different approach to disaster recovery,https://n2t.net/ark:/87292/w9g15th11,,,,RS 21/7/241,Dwight Ink papers,,https://n2t.net/ark:/87292/w9br5w,"Series 13, Biographical information and writings, 1942-2016","Writings: Ink, Dwight. ""A different approach to disaster recovery,"" undated",48,35,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Ink, Dwight, 1922-",http://id.loc.gov/authorities/names/n2011008890,Government employees,http://id.loc.gov/authorities/demographicTerms/dg2015060477,,,,,,,,,,,,,eng,,,,,,Disaster relief--U.S. states--Management,http://id.worldcat.org/fast/894773,United States,http://id.worldcat.org/fast/1204155,,,,,,,12 pages,,,articles,http://vocab.getty.edu/aat/300048715,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,2020-03-12,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital; Digitized with Plustek OpticBook A300,
Ink_b48f35i1_1,inkb48f35i1c01,ink,child,inkb48f35i1,1,RS021-007-241b048f035i001.tif,rs021-007-241b048f035i001.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b048f035i001.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i001_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb48f35i1c1.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb48f35i1c1.txt,,,Page 1,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b48f35i1_2,inkb48f35i1c02,ink,child,inkb48f35i1,2,RS021-007-241b048f035i002.tif,rs021-007-241b048f035i002.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b048f035i002.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i002_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i002_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb48f35i1c2.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb48f35i1c2.txt,,,Page 2,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b48f35i1_3,inkb48f35i1c03,ink,child,inkb48f35i1,3,RS021-007-241b048f035i003.tif,rs021-007-241b048f035i003.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b048f035i003.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i003_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb48f35i1c3.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb48f35i1c3.txt,,,Page 3,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b48f35i1_4,inkb48f35i1c04,ink,child,inkb48f35i1,4,RS021-007-241b048f035i004.tif,rs021-007-241b048f035i004.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b048f035i004.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i004_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i004_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb48f35i1c4.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb48f35i1c4.txt,,,Page 4,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b48f35i1_5,inkb48f35i1c05,ink,child,inkb48f35i1,5,RS021-007-241b048f035i005.tif,rs021-007-241b048f035i005.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b048f035i005.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i005_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i005_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb48f35i1c5.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb48f35i1c5.txt,,,Page 5,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b48f35i1_6,inkb48f35i1c06,ink,child,inkb48f35i1,6,RS021-007-241b048f035i006.tif,rs021-007-241b048f035i006.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b048f035i006.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i006_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i006_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb48f35i1c6.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb48f35i1c6.txt,,,Page 6,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b48f35i1_7,inkb48f35i1c07,ink,child,inkb48f35i1,7,RS021-007-241b048f035i007.tif,rs021-007-241b048f035i007.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b048f035i007.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i007_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i007_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb48f35i1c7.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb48f35i1c7.txt,,,Page 7,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b48f35i1_8,inkb48f35i1c08,ink,child,inkb48f35i1,8,RS021-007-241b048f035i008.tif,rs021-007-241b048f035i008.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b048f035i008.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i008_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i008_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb48f35i1c8.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb48f35i1c8.txt,,,Page 8,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b48f35i1_9,inkb48f35i1c09,ink,child,inkb48f35i1,9,RS021-007-241b048f035i009.tif,rs021-007-241b048f035i009.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b048f035i009.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b048f035i009_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b048f035i009_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb48f35i1c9.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb48f35i1c9.txt,,,Page 9,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
